1        0.000     6.000     0.000     0.000    C5M-C56B-C56A-CA            0 high * # protein CA-C56A-C56B-C5M         
2        0.000     6.000     0.000     0.000    C5M-C56B-C56A-NA            0 high * # protein NA-C56A-C56B-C5M        
3        0.000     6.000     0.000     0.000    CA-C56B-C56A-CA             0 high * # protein CA-C56A-C56B-CA          
4        0.000     6.000     0.000     0.000    CA-C56B-C56A-NA             0 high * # protein NA-C56A-C56B-CA         
5        0.000     6.000     0.000     0.000    CT4-C56B-C56A-CA            0 high * # protein CA-C56A-C56B-CT4         
6        0.000     6.000     0.000     0.000    CT4-C56B-C56A-NA            0 high * # protein NA-C56A-C56B-CT4        
7        0.000    10.750     0.000     0.000    HA-C5B-C5A-CTC              0 high * # protein CTC-C5A-C5B-HA           
8        0.000    10.750     0.000     0.000    HA-C5B-C5A-NA               0 high * # protein NA-C5A-C5B-HA           
9        0.000    10.750     0.000     0.000    N5B-C5B-C5A-CTC             0 high * # protein CTC-C5A-C5B-N5B          
10       0.000    10.750     0.000     0.000    N5B-C5B-C5A-NA              0 high * # protein NA-C5A-C5B-N5B          
11       0.000     3.350     0.000     0.000    C5N-C5M-C56B-C56A           0 high * # protein C56A-C56B-C5M-C5N        
12       0.000     3.350     0.000     0.000    C5N-C5M-C56B-CA             0 high * # protein CA-C56B-C5M-C5N          
13       0.000     3.350     0.000     0.000    CTH-C5M-C56B-C56A           0 high * # protein C56A-C56B-C5M-CTH        
14       0.000     3.350     0.000     0.000    CTH-C5M-C56B-CA             0 high * # protein CA-C56B-C5M-CTH          
15       0.000    13.050     0.000     0.000    HA-C5N-C5M-C56B             0 high * # protein C56B-C5M-C5N-HA          
16       0.000    13.050     0.000     0.000    HA-C5N-C5M-CTH              0 high * # protein CTH-C5M-C5N-HA           
17       0.000    13.050     0.000     0.000    NA-C5N-C5M-C56B             0 high * # protein C56B-C5M-C5N-NA         
18       0.000    13.050     0.000     0.000    NA-C5N-C5M-CTH              0 high * # protein CTH-C5M-C5N-NA          
19       0.000    10.750     0.000     0.000    HA-C5X-C5X-CTC              0 high * # protein CTC-C5X-C5X-HA           
20       0.000    10.750     0.000     0.000    HA-C5X-C5X-CTO              0 high * # protein CTO-C5X-C5X-HA           
21       0.000    10.750     0.000     0.000    NB-C5X-C5X-CTO              0 high * # protein CTO-C5X-C5X-NB           
22       0.000    10.750     0.000     0.000    NB-C5X-C5X-HA               0 high * # protein HA-C5X-C5X-NB            
23       0.000    10.750     0.000     0.000    NB-C5X-C5X-NB               0 high * # protein NA5-C5X-C5X-NA5            
24       0.000    10.750     0.000     0.000    NA5B-C5X-C5X-HA             0 high * # protein HA-C5X-C5X-NA5B          
25       0.000    10.750     0.000     0.000    NA5-C5X-C5X-CTC             0 high * # protein CTC-C5X-C5X-NA5           
26       0.000    10.750     0.000     0.000    NA5-C5X-C5X-NA5B            0 high * # protein NA5B-C5X-C5X-NA5          
27       0.000     7.250     0.000     0.000    CA-CA-C56A-C56B             0 high * # protein C56B-C56A-CA-CA          
